W_um,Vds_V,Vgs_V,Id_A,gm_S,gmb_S,Cgs_F,Cgd_F,fT_Hz
160,0.6,0.6000,6.267376e-02,1.946979e-01,2.586053e-03,9.395332e-14,2.030912e-16,3.291028e+11
160,0.6,0.6250,6.739305e-02,1.919454e-01,2.708646e-03,9.525715e-14,2.039330e-16,3.200159e+11
160,0.6,0.6500,7.202700e-02,1.889480e-01,2.825921e-03,9.642511e-14,2.043068e-16,3.112096e+11
160,0.6,0.6750,7.656906e-02,1.857704e-01,2.938205e-03,9.747581e-14,2.042516e-16,3.026849e+11
160,0.6,0.7000,8.101437e-02,1.824575e-01,3.045628e-03,9.842442e-14,2.037982e-16,2.944290e+11
160,0.6,0.7250,8.535898e-02,1.790402e-01,3.148171e-03,9.928350e-14,2.029713e-16,2.864222e+11
160,0.6,0.7500,8.959959e-02,1.755401e-01,3.245717e-03,1.000635e-13,2.017909e-16,2.786415e+11
160,0.6,0.7750,9.373332e-02,1.719716e-01,3.338074e-03,1.007734e-13,2.002730e-16,2.710622e+11
160,0.6,0.8000,9.775763e-02,1.683445e-01,3.425000e-03,1.014205e-13,1.984311e-16,2.636600e+11
160,0.6,0.8250,1.016702e-01,1.646649e-01,3.506213e-03,1.020116e-13,1.962764e-16,2.564112e+11
160,0.6,0.8500,1.054689e-01,1.609363e-01,3.581404e-03,1.025521e-13,1.938180e-16,2.492928e+11
160,0.6,0.8750,1.091518e-01,1.571603e-01,3.650236e-03,1.030469e-13,1.910642e-16,2.422833e+11
160,0.6,0.9000,1.127170e-01,1.533371e-01,3.712360e-03,1.035005e-13,1.880219e-16,2.353622e+11
